metric_id,research_question,stage,description,value,unit,source_file,derivation
p1_indicator_candidates,P1,H1,Kandidat indikator yang dinilai,35,indikator,results/processed/h1-indicator-coverage.csv,jumlah baris
p1_indicator_verified,P1,H1,Indikator berstatus verified,14,indikator,results/processed/h1-indicator-coverage.csv,derived_status = verified
p1_indicator_partial,P1,H1,Indikator berstatus partial,17,indikator,results/processed/h1-indicator-coverage.csv,derived_status = partial
p1_indicator_unavailable,P1,H1,Indikator berstatus unavailable,4,indikator,results/processed/h1-indicator-coverage.csv,derived_status = unavailable
p1_pilot_overlap_cells,P1,H2,Sel beririsan pada pilot dua kanal,19,sel,results/processed/h2-indicator-summary.csv,jumlah overlap_cells
p1_pilot_value_mismatches,P1,H2,Sel beririsan yang nilainya berbeda,3,sel,results/processed/h2-indicator-summary.csv,jumlah value_mismatches
p1_main_compared_cells,P1,H3,Sel nasional-provinsi yang dibandingkan WebAPI vs TPB 2024,1435,sel,results/processed/h3-cell-comparison.csv,jumlah baris
p1_main_discrepant_cells,P1,H3,Sel yang nilainya berbeda,33,sel,results/processed/h3-discrepancies.csv,jumlah baris
p1_granularity_checks,P1,H3,Pemeriksaan nilai nasional terhadap provinsi,82,pemeriksaan,results/processed/h3-granularity.csv,jumlah baris
p1_national_within_province_range,P1,H3,Nilai nasional yang berada dalam rentang provinsi,82,pemeriksaan,results/processed/h3-granularity.csv,national_within_province_range = yes
p1_release_cell_keys,P1,H3,Kunci sel pada perbandingan antarrilis,4608,kunci sel,results/processed/h3-release-cell-comparison.csv,jumlah baris
p1_release_discrepancies,P1,H3,Perbedaan nilai antarrilis,8,sel,results/processed/h3-release-discrepancies.csv,jumlah baris
p1_release_discrepancy_domains,P1,H3,Domain yang mempunyai perbedaan antarrilis,3,domain,results/processed/h3-release-discrepancies.csv,jumlah domain unik
p1_classified_events,P1,H4-H5,Kejadian ketidaksesuaian yang diklasifikasikan,123,kejadian,results/processed/h5-confirmed-events.csv,jumlah baris
p1_confirmed_core_events,P1,H5,"Kejadian dengan sebab inti terkonfirmasi (vintage, metodologi, granularitas)",96,kejadian,results/processed/h5-confirmed-events.csv,evidence_level = observed dan cause_family inti
p1_confirmed_core_share,P1,H5,Proporsi sebab inti terkonfirmasi,0.7805,rasio,results/processed/h5-confirmed-events.csv,p1_confirmed_core_events / p1_classified_events
p1_core_share_incl_candidates,P1,H5,Proporsi sebab inti bila kandidat ikut dihitung,0.8455,rasio,results/processed/h5-confirmed-events.csv,counts_toward_g1 = yes / jumlah kejadian
p1_granularity_observed,P1,H5,Kejadian granularity terkonfirmasi,82,kejadian,results/processed/h5-confirmed-events.csv,"cause_family = granularity, evidence_level = observed"
p1_vintage_observed,P1,H5,Kejadian vintage terkonfirmasi,13,kejadian,results/processed/h5-confirmed-events.csv,"cause_family = vintage, evidence_level = observed"
p1_methodology_observed,P1,H5,Kejadian methodology terkonfirmasi,1,kejadian,results/processed/h5-confirmed-events.csv,"cause_family = methodology, evidence_level = observed"
p1_rounding_or_presentation_observed,P1,H5,Kejadian rounding_or_presentation terkonfirmasi,19,kejadian,results/processed/h5-confirmed-events.csv,"cause_family = rounding_or_presentation, evidence_level = observed"
p1_revision_traces,P1,H5,Jejak revisi antarrilis yang dibekukan,14,jejak,results/processed/h5-revision-traces.csv,jumlah trace_id unik
p1_trace_vintage_rows,P1,H5,Baris vintage pada jejak revisi,38,baris,results/processed/h5-revision-traces.csv,jumlah baris
p2_vintages,P2,H6,Vintage (rilis) pada workload nyata,3,vintage,results/processed/h6-release-vintages.csv,jumlah baris
p2_observations,P2,H6,Observasi sel indikator dengan vintage eksplisit,38,observasi,results/processed/h6-indicator-observations.csv,jumlah baris
p2_stable_cells,P2,H6,Sel indikator stabil lintas rilis,14,sel,results/processed/h6-indicator-observations.csv,jumlah cell_id unik
p2_b3_asof_rows,P2,H9A,Baris state per rilis yang direkonstruksi B3 dari kunci vintage,42,baris,results/processed/h9-b3-asof-states.csv,jumlah baris; sama dengan snapshot B1
p3_b3_recomputed_cells,P3,H9A,Evaluasi sel inkremental B3 pada tiga rilis nyata,38,evaluasi sel,results/processed/h9-b3-summary.csv,metric recomputed_cells
p3_full_recompute_cells,P3,H9A,Evaluasi sel bila dihitung ulang penuh setiap rilis,42,evaluasi sel,results/processed/h9-b3-summary.csv,metric full_recompute_cells
p3_recompute_ratio,P3,H9A,Rasio kerja logis inkremental / penuh,0.9048,rasio,results/processed/h9-b3-summary.csv,metric recompute_ratio
p3_b3_logical_rows,P3,H9A,Baris logis B3 (store + serving),52,baris,results/processed/h9-b3-summary.csv,metric logical_materialized_rows
